"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Welterweight","Stephen Thompson","Johny Hendricks","TKO","1","3:31","(punches)"
"Heavyweight","Roy Nelson","Jared Rosholt","Decision","3","5:00","(unanimous) (30-27, 30-27, 29-28)"
"Light Heavyweight","Ovince Saint Preux","Rafael Cavalcante","Decision","3","5:00","(unanimous) (30-27, 30-27, 29-28)"
"Flyweight","Joseph Benavidez","Zach Makovsky","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Light Heavyweight","Misha Cirkunov","Alex Nicholson","Submission","2","1:28","(neck crank)"
"Welterweight","Mike Pyle","Sean Spencer","TKO","3","4:25","(elbows and knees)"
"Lightweight","Josh Burkman","K.J. Noons","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Heavyweight","Derrick Lewis","Damian Grabowski","TKO","1","2:17","(punches)"
"Flyweight","Justin Scoggins","Ray Borg","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-26)"
"Featherweight","Diego Rivas","Noad Lahat","KO","2","0:23","(flying knee)"
"Welterweight","Mickey Gall","Mike Jackson","Submission","1","0:45","(rear-naked choke)"
"Featherweight","Alex White","Artem Lobov","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Light Heavyweight","Anthony Johnson","Ryan Bader","KO","1","1:26","(punches)"
"Heavyweight","Ben Rothwell","Josh Barnett","Submission","2","3:48","(gogo choke)"
"Bantamweight","Jimmie Rivera","Iuri Alcântara","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Bryan Barberena","Sage Northcutt","Submission","2","3:06","(Von Flue choke)"
"Welterweight","Tarec Saffiedine","Jake Ellenberger","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Lightweight","Carlos Diego Ferreira","Olivier Aubin-Mercier","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Middleweight","Rafael Natal","Kevin Casey","TKO","3","3:37","(punches)"
"Flyweight","Wilson Reis","Dustin Ortiz","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Welterweight","Alexander Yakovlev","George Sullivan","KO","1","3:59","(punches)"
"Featherweight","Alex Caceres","Masio Fullen","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Welterweight","Randy Brown","Matt Dwyer","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Featherweight","Damon Jackson","Levan Makashvili","Draw","3","5:00","(majority) (29-27, 28-28, 28-28)"
"Lightweight","Tony Martin","Felipe Olivieri","Submission","3","3:02","Technical  (rear-naked choke)"
"Bantamweight","Dominick Cruz","T.J. Dillashaw (c)","Decision","5","5:00","(split) (48-47, 46-49, 49-46)"
"Lightweight","Eddie Alvarez","Anthony Pettis","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Heavyweight","Travis Browne","Matt Mitrione","TKO","3","4:09","(punches)"
"Lightweight","Francisco Trinaldo","Ross Pearson","Decision","3","5:00","(unanimous) (30-27, 29-28, 30-27)"
"Welterweight","Patrick Côté","Ben Saunders","TKO","2","1:14","(punches)"
"Light Heavyweight","Ed Herman","Tim Boetsch","TKO","2","1:39","(knee and punches)"
"Lightweight","Chris Wade","Mehdi Baghdad","Submission","1","4:30","(rear-naked choke)"
"Featherweight","Luke Sanders","Maximo Blanco","Submission","1","3:38","(rear-naked choke)"
"Lightweight","Paul Felder","Daron Cruickshank","Submission","3","3:56","(rear-naked choke)"
"Light Heavyweight","Ilir Latifi","Sean O'Connell","KO","1","0:30","(punches)"
"Featherweight","Charles Rosa","Kyle Bochniak","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Bantamweight","Rob Font","Joey Gomez","TKO","2","4:13","(punches)"
