"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Welterweight","Johny Hendricks","Mike Pierce","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Catchweight (138 lb)","Ivan Menjivar","Nick Pace","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Mike Brown","Nam Phan","Decision","3","5:00","(unanimous) (29–27, 29–28, 29–28)"
"Middleweight","Rafael Natal","Paul Bradley","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Bantamweight","Dominick Cruz (c)","Urijah Faber","Decision","5","5:00","(unanimous) (50–45, 49–46, 48–47)"
"Middleweight","Chris Leben","Wanderlei Silva","KO","1","0:27","(punches)"
"Lightweight","Dennis Siver","Matt Wiman","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Tito Ortiz","Ryan Bader","Submission","1","1:56","(guillotine choke)"
"Welterweight","Carlos Condit","Dong Hyun Kim","TKO","1","2:58","(flying knee and punches)"
"Lightweight","Melvin Guillard","Shane Roller","KO","1","2:12","(punches)"
"Lightweight","Rafael dos Anjos","George Sotiropoulos","KO","1","0:59","(punch)"
"Bantamweight","Brian Bowles","Takeya Mizugaki","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Aaron Simpson","Brad Tavares","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Anthony Njokuani","Andre Winner","Decision","3","5:00","(unanimous) (30–26, 30–26, 30–27)"
"Bantamweight","Jeff Hougland","Donny Walker","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Heavyweight","Cheick Kongo","Pat Barry","KO","1","2:39","(punch)"
"Welterweight","Charlie Brenneman","Rick Story","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Matt Brown","John Howard","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Matt Mitrione","Christian Morecraft","KO","2","4:28","(punches)"
"Featherweight","Tyson Griffin","Manvel Gamburyan","Decision","3","5:00","(majority) (29–28, 29–28, 29–29)"
"Featherweight","Javier Vazquez","Joe Stevenson","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Lightweight","Joe Lauzon","Curt Warburton","Submission","1","1:58","(kimura)"
"Welterweight","Rich Attonito","Daniel Roberts","Decision","3","5:00","(unanimous) (29–27, 30–27, 29–28)"
"Lightweight","Nik Lentz","Charles Oliveira","No Contest","2","1:48",""
"Featherweight","Ricardo Lamas","Matt Grice","TKO","1","4:41","(head kick and punches)"
"Lightweight","Michael Johnson","Edward Faaloloto","TKO","1","4:42","(punches)"
"Heavyweight","Junior dos Santos","Shane Carwin","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Featherweight","Kenny Florian","Diego Nunes","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Middleweight","Mark Muñoz","Demian Maia","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Heavyweight","Dave Herman","John Olav Einemo","TKO","2","3:19","(knee and punches)"
"Lightweight","Donald Cerrone","Vagner Rocha","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Lightweight","Sam Stout","Yves Edwards","KO","1","3:52","(punch)"
"Middleweight","Chris Weidman","Jesse Bongfeldt","Submission","1","4:54","(guillotine choke)"
"Light Heavyweight","Krzysztof Soszynski","Mike Massenzio","Decision","3","5:00","(unanimous) (30–27, 30–26, 30–27)"
"Middleweight","Nick Ring","James Head","Submission","3","3:33","(rear-naked choke)"
"Featherweight","Dustin Poirier","Jason Young","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Heavyweight","Joey Beltran","Aaron Rosa","TKO","3","1:26","(punches)"
"Featherweight","Darren Elkins","Michihiro Omigawa","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Lightweight","Clay Guida","Anthony Pettis","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Tony Ferguson","Ramsey Nijem","KO","1","3:54","(punches)"
"Middleweight","Ed Herman","Tim Credeur","TKO","1","0:48","(punches)"
"Light Heavyweight","Kyle Kingsbury","Fabio Maldonado","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Chris Cope","Chuck O'Neil","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Jeremy Stephens","Danny Downes","Decision","3","5:00","(unanimous) (30–27, 30–26, 30–26)"
"Featherweight","George Roop","Josh Grispi","TKO","3","3:14","(body punch)"
"Welterweight","Shamar Bailey","Ryan McGillivray","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Clay Harvison","Justin Edwards","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Scott Jorgensen","Ken Stone","KO","1","4:01","(punches)"
"Bantamweight","Reuben Duran","Francisco Rivera","Submission","3","1:57","(rear-naked choke)"
"Light Heavyweight","Quinton Jackson","Matt Hamill","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Frank Mir","Roy Nelson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Heavyweight","Travis Browne","Stefan Struve","KO","1","4:11","(superman punch)"
"Welterweight","Rick Story","Thiago Alves","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Brian Stann","Jorge Santiago","KO","2","4:29","(punches)"
"Bantamweight","Demetrious Johnson","Miguel Torres","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Tim Boetsch","Kendall Grove","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Gleison Tibau","Rafaello Oliveira","Submission","2","3:28","(rear-naked choke)"
"Bantamweight","Michael McDonald","Chris Cariaso","Decision","3","5:00","(split) (29–28, 27–30, 29–28)"
"Bantamweight","Renan Barão","Cole Escovedo","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Welterweight","Georges St-Pierre (c)","Jake Shields","Decision","5","5:00","(unanimous) (50–45, 48–47, 48–47)"
"Featherweight","José Aldo (c)","Mark Hominick","Decision","5","5:00","(unanimous) (48–45, 48–46, 49–46)"
"Light Heavyweight","Lyoto Machida","Randy Couture","KO","2","1:05","(jumping front kick)"
"Light Heavyweight","Vladimir Matyushenko","Jason Brilz","KO","1","0:20","(punches)"
"Lightweight","Benson Henderson","Mark Bocek","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Rory MacDonald","Nate Diaz","Decision","3","5:00","(unanimous) (30–26, 30–27, 30–26)"
"Welterweight","Jake Ellenberger","Sean Pierson","KO","1","2:42","(punches)"
"Welterweight","Claude Patrick","Daniel Roberts","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","Ivan Menjivar","Charlie Valencia","TKO","1","1:30","(elbow and punches)"
"Middleweight","Jason MacDonald","Ryan Jensen","Submission","1","1:37","(triangle choke)"
"Lightweight","John Makdessi","Kyle Watson","KO","3","1:27","(spinning back fist)"
"Featherweight","Pablo Garza","Yves Jabouin","Submission","1","4:31","(flying triangle choke)"
"Light Heavyweight","Phil Davis","Antônio Rogério Nogueira","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Anthony Johnson","Dan Hardy","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Amir Sadollah","DaMarques Johnson","Submission","2","3:27","(elbows)"
"Featherweight","Chan Sung Jung","Leonard Garcia","Submission","2","4:59","(twister)"
"Heavyweight","Mike Russow","Jon Madsen","TKO","2","5:00","(doctor stoppage)"
"Featherweight","Mackens Semerzier","Alex Caceres","Submission","1","3:18","(rear-naked choke)"
"Welterweight","John Hathaway","Kris McCray","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Michael McDonald","Edwin Figueroa","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Christian Morecraft","Sean McCorkle","Submission","2","4:10","(guillotine choke)"
"Welterweight","Johny Hendricks","TJ Waldburger","TKO","1","1:35","(punches)"
"Middleweight","Aaron Simpson","Mario Miranda","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Lightweight","Nik Lentz","Waylon Lowe","Submission","3","2:24","(guillotine choke)"
"Light Heavyweight","Jon Jones","Maurício Rua (c)","TKO","3","2:37","(knees and punches)"
"Bantamweight","Urijah Faber","Eddie Wineland","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Jim Miller","Kamal Shalorus","TKO","3","2:15","(knee and punches)"
"Middleweight","Nate Marquardt","Dan Miller","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Brendan Schaub","Mirko Filipović","KO","3","3:44","(punch)"
"Light Heavyweight","Luiz Cané","Eliot Marshall","TKO","1","2:15","(punches)"
"Lightweight","Edson Barboza","Anthony Njokuani","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Mike Pyle","Ricardo Almeida","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Gleison Tibau","Kurt Pellegrino","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Joseph Benavidez","Ian Loveland","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Catchweight (195 lbs)","Nick Catone","Costas Philippou","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Featherweight","Erik Koch","Raphael Assunção","KO","1","2:32","(punch)"
"Welterweight","Diego Sanchez","Martin Kampmann","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Mark Muñoz","C.B. Dollaway","KO","1","0:54","(punches)"
"Middleweight","Chris Weidman","Alessio Sakara","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Brian Bowles","Damacio Page","Submission","1","3:30","(guillotine choke)"
"Light Heavyweight","Cyrille Diabaté","Steve Cantwell","Decision","3","5:00","(unanimous) (30–27, 30–25, 30–26)"
"Lightweight","Danny Castillo","Joe Stevenson","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Lightweight","Shane Roller","Thiago Tavares","KO","2","1:28","(punches)"
"Bantamweight","Takeya Mizugaki","Reuben Duran","Decision","3","5:00","(split) (30–27, 27–30, 29–28)"
"Middleweight","Dongi Yang","Rob Kimmons","TKO","2","4:47","(punches)"
"Middleweight","Rousimar Palhares","David Branch","Submission","2","1:44","(kneebar)"
"Light Heavyweight","Igor Pokrajac","Todd Brown","TKO","1","5:00","(knee and punches)"
"Welterweight","B.J. Penn","Jon Fitch","Draw","3","5:00","(majority) (28–29, 28–28, 28–28)"
"Middleweight","Michael Bisping","Jorge Rivera","TKO","2","1:54","(punches)"
"Lightweight","Dennis Siver","George Sotiropoulos","Decision","3","5:00","(unanimous) (29–28, 30–28, 30–27)"
"Welterweight","Brian Ebersole","Chris Lytle","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Middleweight","Kyle Noke","Chris Camozzi","Submission","1","1:35","(rear-naked choke)"
"Lightweight","Ross Pearson","Spencer Fisher","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Light Heavyweight","Alexander Gustafsson","James Te Huna","Submission","1","4:27","(rear-naked choke)"
"Middleweight","Nick Ring","Riki Fukuda","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Anthony Perosh","Tom Blackledge","Submission","1","2:45","(rear-naked choke)"
"Featherweight","Zhang Tiequan","Jason Reinhardt","Submission","1","0:48","(guillotine choke)"
"Heavyweight","Mark Hunt","Chris Tuchscherer","KO","2","1:41","(punch)"
"Lightweight","Curt Warburton","Maciej Jewtuszko","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Anderson Silva (c)","Vitor Belfort","KO","1","3:25","(front kick and punches)"
"Light Heavyweight","Forrest Griffin","Rich Franklin","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Jon Jones","Ryan Bader","Submission","2","4:20","(guillotine choke)"
"Welterweight","Jake Ellenberger","Carlos Eduardo Rocha","Decision","3","5:00","(split) (27–30, 29–28, 29–28)"
"Bantamweight","Miguel Torres","Antonio Banuelos","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Donald Cerrone","Paul Kelly","Submission","2","3:48","(rear-naked choke)"
"Featherweight","Chad Mendes","Michihiro Omigawa","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Demetrious Johnson","Norifumi Yamamoto","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Lightweight","Paul Taylor","Gabe Ruediger","KO","2","1:42","(head kick and punches)"
"Light Heavyweight","Kyle Kingsbury","Ricardo Romero","TKO","1","0:21","(punches)"
"Welterweight","Mike Pierce","Kenny Robertson","TKO","2","0:29","(punches)"
"Lightweight","Melvin Guillard","Evan Dunham","TKO","1","2:58","(knees)"
"Heavyweight","Matt Mitrione","Tim Hague","TKO","1","2:59","(punches)"
"Featherweight","Mark Hominick","George Roop","TKO","1","1:28","(punches)"
"Heavyweight","Pat Barry","Joey Beltran","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Lightweight","Matt Wiman","Cole Miller","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Lightweight","Yves Edwards","Cody McKenzie","Submission","2","4:33","Technical  (rear-naked choke)"
"Welterweight","DaMarques Johnson","Mike Guymon","Submission","1","3:22","Verbal  (body triangle)"
"Featherweight","Rani Yahya","Mike Brown","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Lightweight","Waylon Lowe","Willamy Freire","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Charlie Brenneman","Amilcar Alves","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Chris Cariaso","Will Campuzano","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Frankie Edgar (c)","Gray Maynard","Draw","5","5:00","(split) (46–48, 48–46, 47–47)"
"Middleweight","Brian Stann","Chris Leben","TKO","1","3:37","(knee and punches)"
"Light Heavyweight","Brandon Vera","Thiago Silva","No Contest","3","5:00","(overturned)"
"Welterweight","Dong Hyun Kim","Nate Diaz","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Clay Guida","Takanori Gomi","Submission","2","4:27","(guillotine choke)"
"Lightweight","Jeremy Stephens","Marcus Davis","KO","3","2:33","(punch)"
"Featherweight","Dustin Poirier","Josh Grispi","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Brad Tavares","Phil Baroni","KO","1","4:20","(knees and punches)"
"Featherweight","Diego Nunes","Mike Brown","Decision","3","5:00","(split) (29–28, 29–28, 28–29)"
"Welterweight","Daniel Roberts","Greg Soto","Submission","1","3:45","(kimura)"
"Lightweight","Jacob Volkmann","Antonio McKee","Decision","3","5:00","(split) (29–28, 29–28, 28–29)"
"Welterweight","Georges St-Pierre (c)","Josh Koscheck","Decision","5","5:00","(unanimous) (50–45, 50–45, 50–45)"
"Heavyweight","Stefan Struve","Sean McCorkle","TKO","1","3:55","(punches)"
"Lightweight","Jim Miller","Charles Oliveira","Submission","1","1:59","(kneebar)"
"Lightweight","Mac Danzig","Joe Stevenson","KO","1","1:54","(punch)"
"Welterweight","Thiago Alves","John Howard","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Dan Miller","Joe Doerksen","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Lightweight","Mark Bocek","Dustin Hazelett","Submission","1","2:33","(triangle armbar)"
"Middleweight","Rafael Natal","Jesse Bongfeldt","Draw","3","5:00","(unanimous) (28–28, 28–28, 28–28)"
"Welterweight","Sean Pierson","Matthew Riddle","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Ricardo Almeida","TJ Grant","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","John Makdessi","Pat Audinwood","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Lightweight","Jonathan Brookins","Michael Johnson","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–27)"
"Light Heavyweight","Stephan Bonnar","Igor Pokrajac","Decision","3","5:00","(unanimous) (29–26, 29–26, 29–26)"
"Middleweight","Demian Maia","Kendall Grove","Decision","3","5:00","(unanimous)(29–28, 29–28, 29–28)"
"Welterweight","Rick Story","Johny Hendricks","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Leonard Garcia","Nam Phan","Decision","3","5:00","(split) (29–28, 27–30, 29–28)"
"Lightweight","Cody McKenzie","Aaron Wilkinson","Submission","1","2:03","(guillotine choke)"
"Featherweight","Ian Loveland","Tyler Toner","Decision","3","5:00","(unanimous) (30–26, 30–26, 29–28)"
"Lightweight","Kyle Watson","Sako Chivitchian","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Catchweight (138 lbs)","Nick Pace","Will Campuzano","Submission","3","4:32","(pillory choke)"
"Featherweight","Pablo Garza","Fredson Paixão","KO","1","0:51","(flying knee)"
"Middleweight","David Branch","Rich Attonito","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Quinton Jackson","Lyoto Machida","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","B.J. Penn","Matt Hughes","KO","1","0:21","(punches)"
"Middleweight","Maiquel Falcão","Gerald Harris","Decision","3","5:00","(unanimous) (29–27, 29–28, 29–28)"
"Light Heavyweight","Phil Davis","Tim Boetsch","Submission","2","2:55","(modified kimura)"
"Lightweight","George Sotiropoulos","Joe Lauzon","Submission","2","2:43","(kimura)"
"Welterweight","Brian Foster","Matt Brown","Submission","2","2:11","(guillotine choke)"
"Middleweight","Mark Muñoz","Aaron Simpson","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Dennis Hallman","Karo Parisyan","TKO","1","1:47","(punches)"
"Lightweight","Edson Barboza","Mike Lullo","TKO","3","0:26","(leg kicks)"
"Lightweight","Paul Kelly","T.J. O'Brien","TKO","2","3:18","(elbows)"
"Lightweight","Nik Lentz","Tyson Griffin","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Middleweight","Yushin Okami","Nate Marquardt","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Lightweight","Dennis Siver","Andre Winner","Submission","1","3:37","(rear-naked choke)"
"Welterweight","Amir Sadollah","Peter Sobotta","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Krzysztof Soszynski","Goran Reljic","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Duane Ludwig","Nick Osipczak","Decision","3","5:00","(split) (28–30, 29–28, 29–28)"
"Light Heavyweight","Vladimir Matyushenko","Alexandre Ferreira","TKO","1","2:20","(punches and elbows)"
"Welterweight","Pascal Krauss","Mark Scanlon","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Kyle Noke","Rob Kimmons","Submission","2","1:33","(rear-naked choke)"
"Light Heavyweight","Karlos Vemola","Seth Petruzelli","TKO","1","3:46","(punches)"
"Welterweight","Carlos Eduardo Rocha","Kris McCray","Submission","1","2:36","(kneebar)"
"Heavyweight","Cain Velasquez","Brock Lesnar(c)","TKO","1","4:12","(punches)"
"Welterweight","Jake Shields","Martin Kampmann","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Welterweight","Diego Sanchez","Paulo Thiago","Decision","3","5:00","(unanimous) (30–26, 29–28, 29–28)"
"Light Heavyweight","Matt Hamill","Tito Ortiz","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Heavyweight","Brendan Schaub","Gabriel Gonzaga","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Court McGee","Ryan Jensen","Submission","3","1:21","(arm-triangle choke)"
"Middleweight","Tom Lawlor","Patrick Cote","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Daniel Roberts","Mike Guymon","Submission","1","1:21","(anaconda choke)"
"Lightweight","Sam Stout","Paul Taylor","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Middleweight","Chris Camozzi","Dongi Yang","Decision","3","5:00","(split) (29–28,28–29,29–28)"
"Heavyweight","Jon Madsen","Gilbert Yvel","TKO","1","1:48","(punches)"
"Middleweight","Michael Bisping","Yoshihiro Akiyama","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Carlos Condit","Dan Hardy","KO","1","4:27","(punch)"
"Welterweight","Mike Pyle","John Hathaway","Decision","3","5:00","(unanimous)(30–27, 30–27, 30–27)"
"Heavyweight","Cheick Kongo","Travis Browne","Draw","3","5:00","(unanimous) (28–28, 28–28, 28–28)"
"Welterweight","Claude Patrick","James Wilks","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Alexander Gustafsson","Cyrille Diabaté","Submission","2","2:41","(rear-naked choke)"
"Heavyweight","Rob Broughton","Vinicius Queiroz","Submission","3","1:43","(rear-naked choke)"
"Lightweight","Paul Sass","Mark Holst","Submission","1","4:45","(triangle choke)"
"Lightweight","Spencer Fisher","Kurt Warburton","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Fabio Maldonado","James McSweeney","TKO","3","0:48","(punches)"
"Heavyweight","Frank Mir","Mirko Filipovic","KO","3","4:02","(knee)"
"Light Heavyweight","Ryan Bader","Antônio Rogério Nogueira","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Chris Lytle","Matt Serra","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Sean Sherk","Evan Dunham","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Lightweight","Melvin Guillard","Jeremy Stephens","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Middleweight","C.B. Dollaway","Joe Doerksen","Submission","1","2:47","(guillotine choke)"
"Heavyweight","Matt Mitrione","Joey Beltran","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Thiago Tavares","Pat Audinwood","Submission","1","3:47","(guillotine choke)"
"Lightweight","Waylon Lowe","Steve Lopez","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","TJ Grant","Julio Paulino","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Sean McCorkle","Mark Hunt","Submission","1","1:03","(straight armbar)"
"Middleweight","Nate Marquardt","Rousimar Palhares","TKO","1","3:28","(punches)"
"Catchweight (159 lbs)","Charles Oliveira","Efrain Escudero","Submission","3","2:25","(standing rear-naked choke)"
"Lightweight","Jim Miller","Gleison Tibau","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Lightweight","Cole Miller","Ross Pearson","Submission","2","1:49","(rear-naked choke)"
"Lightweight","Yves Edwards","John Gunderson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Kyle Kingsbury","Jared Hamman","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","David Branch","Tomasz Drwal","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Rich Attonito","Rafael Natal","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Welterweight","TJ Waldburger","David Mitchell","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Brian Foster","Forrest Petz","TKO","1","1:07","(punches)"
"Lightweight","Frankie Edgar (c)","B.J. Penn","Decision","5","5:00","(unanimous) (50–45, 50–45, 50–45)"
"Heavyweight","Randy Couture","James Toney","Submission","1","3:19","(arm-triangle choke)"
"Middleweight","Demian Maia","Mario Miranda","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Gray Maynard","Kenny Florian","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Welterweight","Nate Diaz","Marcus Davis","Submission","3","4:02","Technical  (guillotine choke)"
"Lightweight","Joe Lauzon","Gabe Ruediger","Submission","1","2:01","(armbar)"
"Lightweight","Nik Lentz","Andre Winner","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Middleweight","Dan Miller","John Salter","Submission","2","1:53","(ninja choke)[14]"
"Welterweight","Greg Soto","Nick Osipczak","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Mike Pierce","Amilcar Alves","Submission","3","3:11","(straight armbar)"
"Middleweight","Anderson Silva (c)","Chael Sonnen","Submission","5","3:10","(triangle armbar)"
"Catchweight (171.5 lbs)","Jon Fitch","Thiago Alves","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Matt Hughes","Ricardo Almeida","Submission","1","3:15","(Dave Schultz front headlock)"
"Lightweight","Clay Guida","Rafael dos Anjos","Submission","3","1:51","(jaw injury)"
"Heavyweight","Junior dos Santos","Roy Nelson","Decision","3","5:00","(unanimous) (30–26, 30–27, 30–27)"
"Welterweight","Rick Story","Dustin Hazelett","TKO","2","1:15","(punches)"
"Light Heavyweight","Phil Davis","Rodney Wallace","Decision","3","5:00","(unanimous) (30–26, 30–27, 30–27)"
"Welterweight","Johny Hendricks","Charlie Brenneman","TKO","2","0:40","(punches)"
"Light Heavyweight","Tim Boetsch","Todd Brown","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Stefan Struve","Christian Morecraft","KO","2","0:22","(punches)"
"Welterweight","Dennis Hallman","Ben Saunders","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Light Heavyweight","Jon Jones","Vladimir Matyushenko","TKO","1","1:52","(elbows)"
"Middleweight","Yushin Okami","Mark Muñoz","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","Jake Ellenberger","John Howard","TKO","3","2:21","(doctor stoppage)"
"Lightweight","Takanori Gomi","Tyson Griffin","KO","1","1:04","(punch)"
"Lightweight","Jacob Volkmann","Paul Kelly","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Catchweight (172 lbs)","Matthew Riddle","DaMarques Johnson","TKO","2","4:29","(punches)"
"Light Heavyweight","Igor Pokrajac","James Irvin","Submission","1","2:29","(rear-naked choke)"
"Middleweight","Brian Stann","Mike Massenzio","Submission","3","3:10","(triangle choke)"
"Lightweight","Charles Oliveira","Darren Elkins","Submission","1","0:41","(armbar)"
"Middleweight","Rob Kimmons","Steve Steinbeiss","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Brock Lesnar (c)","Shane Carwin (ic)","Submission","2","2:19","(arm-triangle choke)"
"Middleweight","Chris Leben","Yoshihiro Akiyama","Submission","3","4:40","(triangle choke)"
"Welterweight","Chris Lytle","Matt Brown","Submission","2","2:02","(inverted triangle-straight armbar)"
"Light Heavyweight","Stephan Bonnar","Krzysztof Soszynski","TKO","2","3:08","(knee and punches)"
"Lightweight","George Sotiropoulos","Kurt Pellegrino","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Heavyweight","Brendan Schaub","Chris Tuchscherer","KO","1","1:07","(punches)"
"Light Heavyweight","Ricardo Romero","Seth Petruzelli","Submission","2","3:05","(armbar)"
"Middleweight","Kendall Grove","Goran Reljic","Decision","3","5:00","(split) (30–27, 28–29, 29–28)"
"Middleweight","Gerald Harris","David Branch","KO","3","2:35","(slam)"
